Menu,Section,Item,Price,Description
Food,Signature Tacos,Mahi · Shrimp · Chicken · Steak,16,"All served with corn salsa, chipotle salsa, (3) white corn tortillas, pickled onion, avocado crema & cotija cheese"
Food,Appetizers,Coconut Shrimp,16,"Wild caught coconut shrimp, lime wedge, lettuce, mango sweet chili sauce"
Food,Appetizers,Coastal Calamari,15,"Flash fried, mango, cashews, green onion, sweet chili"
Food,Appetizers,Tuna Wontons,16,"Ahi tuna, sriracha aioli, cucumber, scallion, sesame"
Food,Appetizers,Loaded Nachos,15,"Tortilla chips, cheese sauce, black bean and corn salsa, jalapeño, blackened chicken"
Food,Appetizers,Confit Wings,16,"8 jumbo wings, celery, blue cheese or ranch. Tossed in your choice: honey BBQ, buffalo, Caribbean jerk, garlic parmesan, sweet chili"
Food,Appetizers,Buffalo Cauliflower,12,"Flash fried, buttermilk ranch"
Food,Salads,Southwest Chop,14,"Romaine, avocado, black bean corn salsa, cilantro, tortilla strips, cilantro ranch"
Food,Salads,Caesar Salad,13,"Romaine, parmesan, garlic crouton, zesty caesar dressing"
Food,Salads,Signature House,14,"Mixed greens, blue cheese, cranberries, candied walnuts, red onion, balsamic vinaigrette"
Food,Salads,Black N Blue Salad,22,"Sliced ribeye, mixed greens, spinach, blue cheese, red onion, candied walnuts, balsamic vinaigrette"
Food,Salad Add-Ons,Add: Chicken,6,
Food,Salad Add-Ons,Shrimp,8,
Food,Salad Add-Ons,Mahi (grilled/blackened),8,
Food,Salad Add-Ons,Steak,10,
Food,Entrées,Ribeye Steak Frites,30,"Truffle fries, red pepper coulis, crispy onion straws"
Food,Entrées,Fish & Chips,24,"Beer battered fish, handcut fries, coleslaw, lemon, key lime tartar sauce"
Food,Entrées,Baked Penne,16,"House made tomato basil sauce, parmesan, EVOO, penne, garlic bread"
Food,Entrées,BBQ Chicken,22,"Half chicken, honey BBQ sauce, handcut fries, coleslaw"
Food,Handhelds,,,All served with house cut fries
Food,Handhelds,Paradise Burger,18,"8oz prime, bib lettuce, tomato, red onion, special sauce, cheddar cheese · Beyond patty available"
Food,Handhelds,Caesar Wrap,16,"Romaine, parmesan, grilled or blackened chicken, flour tortilla"
Food,Handhelds,Turkey Club,16,"Lettuce, tomato, bacon, citrus aioli, sourdough"
